GDN,NULL,NULL,NULL,NULL,PSA,FR
GDN,BGY,W6,ATH,FR,JTR,FR
GDN,BGY,FR,ATH,FR,JTR,FR
GDN,BGY,FR,NULL,NULL,ATH,FR
GDN,BGY,W6,NULL,NULL,ATH,FR
GDN,NULL,NULL,NULL,NULL,BGY,FR
GDN,NULL,NULL,NULL,NULL,BGY,W6
GDN,NULL,NULL,NULL,NULL,LIS,W6
GDN,EIN,W6,NULL,NULL,LIS,FR
GDN,NULL,NULL,NULL,NULL,BCN,W6
WAW,NULL,NULL,NULL,NULL,CFU,W6
WAW,NULL,NULL,NULL,NULL,NCE,W6
WAW,NULL,NULL,NULL,NULL,BOD,W6
WAW,NULL,NULL,NULL,NULL,ALC,W6
WAW,NULL,NULL,NULL,NULL,BCN,W6
GDN,NULL,NULL,NULL,NULL,WAW,FR
WAW,NULL,NULL,NULL,NULL,WRO,FR
